Description,Transaction ID,Type,Card Number,Date,Amount
Home Improvement,10000071,Shopping,3456 **** **** 7890,2023-10-15,-165.27
Electronic Store,10000072,Entertainment,1234 **** **** 5678,2023-02-22,-19.71
Electronic Store,10000073,Clothing,2345 **** **** 6789,2023-01-30,-135.11
Gas Station,10000074,Shopping,3456 **** **** 7890,2024-01-01,97.04
Utility Bill,10000075,Books,1234 **** **** 5678,2023-02-14,165.56
Bookstore,10000076,Bill,1234 **** **** 5678,2023-01-19,35.23
Grocery Store,10000077,Entertainment,3456 **** **** 7890,2023-11-15,-98.35
Electronic Store,10000078,Subscription,2345 **** **** 6789,2023-09-30,56.96
Online Marketplace,10000079,Books,3456 **** **** 7890,2023-05-26,79.6
Electronic Store,10000080,Shopping,2345 **** **** 6789,2023-01-06,-180.77
Grocery Store,10000081,Fuel,3456 **** **** 7890,2023-07-20,191.39
Utility Bill,10000082,Home,2345 **** **** 6789,2023-03-23,10.58
Online Marketplace,10000083,Books,1234 **** **** 5678,2023-06-14,-135.46
Electronic Store,10000084,Fuel,3456 **** **** 7890,2023-05-23,-35.82
Clothing Retail,10000085,Bill,1234 **** **** 5678,2023-07-15,-0.45
Grocery Store,10000086,Electronics,1234 **** **** 5678,2023-03-18,90.98
Clothing Retail,10000087,Books,2345 **** **** 6789,2023-07-07,-187.31
Electronic Store,10000088,Fuel,3456 **** **** 7890,2023-12-04,21.84
Online Marketplace,10000089,Clothing,1234 **** **** 5678,2023-07-30,-85.77
Electronic Store,10000090,Entertainment,1234 **** **** 5678,2023-07-26,-13.24
Gas Station,10000091,Subscription,3456 **** **** 7890,2023-09-02,-35.56
Electronic Store,10000092,Fuel,1234 **** **** 5678,2023-06-01,-60.58
Bookstore,10000093,Fuel,1234 **** **** 5678,2023-02-09,25.91
Clothing Retail,10000094,Clothing,2345 **** **** 6789,2023-07-14,181.71
Restaurant,10000095,Electronics,2345 **** **** 6789,2023-05-01,100.87
Electronic Store,10000096,Fuel,1234 **** **** 5678,2023-08-11,115.2
Home Improvement,10000097,Fuel,1234 **** **** 5678,2023-11-16,17.79
Online Marketplace,10000098,Shopping,3456 **** **** 7890,2023-05-15,42.93
Utility Bill,10000099,Shopping,1234 **** **** 5678,2023-05-25,-77.26
